question_id,survey_id,question_content
'1a86cfbd-2c3c-4d9f-97f7-657b13e1a256','550e8400-e29b-41d4-a716-446655440001','<p>Do you enjoy your apprenticeship?</p>'
'54df868f-7625-4c88-98da-481f81c46c03','550e8400-e29b-41d4-a716-446655440001','<p>Are you satisfied with the support provided by your employer for the apprenticeship?</p>'
'b023cb54-7eaa-4d77-92ae-cc7bda0e1f34','550e8400-e29b-41d4-a716-446655440002','<p>How much challenge does the content of your apprenticeship programme provide?</p>'
'91c636cb-2a1a-4bf3-a51c-2a5d74d74d72','550e8400-e29b-41d4-a716-446655440002','<p>Do you feel suitably prepared for your assessments?</p>'
'2ac91e56-05a2-4b03-8f4b-00df14f0a110','550e8400-e29b-41d4-a716-446655440003','<p>Have you received a salary increase since starting your programme?</p>'
'c8f8be3a-96dd-4772-9e8d-8447a93cb5ef','550e8400-e29b-41d4-a716-446655440003','<p>What impact has your apprenticeship had on your daily work activities?</p>'
'34988b4d-0a9f-46b7-9163-ea99286dace1','550e8400-e29b-41d4-a716-446655440004','<p>How likely are you to recommend a Multiverse apprenticeship?</p>'
'132c8a68-0a42-40f3-8e57-8e557d5f8e6c','550e8400-e29b-41d4-a716-446655440004','<p>What is the main reason for your score?</p>'
'6d18c4b4-e82b-43cd-845b-e59d8c8c677f','550e8400-e29b-41d4-a716-446655440005','<p>Has the apprenticeship had impact on your work-life balance?</p>'
'973bc1f7-d228-49fe-83f8-6ef77b321059','550e8400-e29b-41d4-a716-446655440005','<p>How does your apprenticeship help with your personal development?</p>'
'cfb8a5f7-62a4-4e8b-922b-9cf09a1355a0','550e8400-e29b-41d4-a716-446655440006','<p>Does your programme enhance your technical skills?</p>'
'48f4a305-9964-4b0a-aa2a-b6eb633ef1b4','550e8400-e29b-41d4-a716-446655440006','<p>How effective are the technical training sessions?</p>'
'ca87c3d9-f8b1-4f74-aabb-dc0b1a0e7af3','550e8400-e29b-41d4-a716-446655440007','<p>How satisfied are you with team collaboration during the apprenticeship?</p>'
'c672e541-27ab-497d-8f02-82a8c93bf422','550e8400-e29b-41d4-a716-446655440007','<p>Have team projects proved beneficial to your learning experience?</p>'
'18b00a9b-83ed-46c5-bdba-b2b99d90204b','550e8400-e29b-41d4-a716-446655440008','<p>How aligned is your current job role with the skills learned in the apprenticeship?</p>'
'23e5d7c9-282e-4c9f-b204-86cb94613c22','550e8400-e29b-41d4-a716-446655440008','<p>Do you wish other skills were covered in your programme? Which skills?</p>'
'1e55d5f4-ebba-4b36-9b2f-cc68ed7c5ff5','550e8400-e29b-41d4-a716-446655440009','<p>Was your mentor effective in guiding you through the apprenticeship?</p>'
'1e04a4d8-3ecf-4341-b4ab-348bf2ec4a77','550e8400-e29b-41d4-a716-446655440009','<p>What mentorship improvements would you suggest for the programme?</p>'
'1c417836-1d09-499c-9df6-7a2de614b13c','550e8400-e29b-41d4-a716-446655440010','<p>How has the apprenticeship contributed to your professional growth?</p>'
'4ed00f01-0df1-4464-9de8-071f58c78a3e','550e8400-e29b-41d4-a716-446655440010','<p>Would you recommend this apprenticeship for professional development?</p>'
'83948e44-6e58-422f-bac7-3d1982ac81d8','550e8400-e29b-41d4-a716-446655440001','<p>Are you happy with the overall structure of the apprenticeship programme?</p>'
'8b42dd7f-b25b-42c2-b537-f7b5392df28d','550e8400-e29b-41d4-a716-446655440002','<p>Are programme learning objectives accurately reflected in the assessments?</p>'
'2dd4cbf1-2f7a-48a4-89d1-9d1b5018e8c2','550e8400-e29b-41d4-a716-446655440003','<p>In what ways has the apprenticeship influenced your career goals?</p>'
'8a1e16a4-8126-4e85-b5d3-09465e0a2226','550e8400-e29b-41d4-a716-446655440004','<p>Are there any training resources you would like to see added to the programme?</p>'
'7740c25f-fbae-4701-b6c5-489309c7a28a','550e8400-e29b-41d4-a716-446655440005','<p>To what extent (if any) do you feel the apprenticeship has improved your work-life balance?</p>'
'2dcb7024-8c36-4a0c-9614-f2040d65d257','550e8400-e29b-41d4-a716-446655440006','<p>How relevant are the technical skills acquired during the apprenticeship?</p>'
'cb90a1fe-cb4e-49af-aaef-08c6d02a53bb','550e8400-e29b-41d4-a716-446655440007','<p>Did collaborative projects enhance your learning and comprehension of the programme material?</p>'
'82b456db-8cb4-446b-aac5-e581bbf67f6b','550e8400-e29b-41d4-a716-446655440008','<p>Has the apprenticeship increased your job-related skills?</p>'
'0a3488f6-384b-4271-8eaa-2569b28a6b57','550e8400-e29b-41d4-a716-446655440009','<p>How frequently did you meet with your mentor throughout the programme?</p>'
'aa36bc34-55c2-4679-8cf7-61d44043e6b3','550e8400-e29b-41d4-a716-446655440010','<p>Which aspects of the apprenticeship contributed to your professional growth?</p>'
